Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
156	:	1625178497.144	     3.414	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 21
108	:	1625178477.133	    23.940	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 27
38	:	1625178457.686	    43.554	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 11
120	:	1625178481.184	    20.548	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 12
160	:	1625178498.466	     3.455	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 25
162	:	1625178499.117	     3.271	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 27
65	:	1625178463.046	    39.558	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 11
164	:	1625178499.774	     3.387	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 2
114	:	1625178479.090	    24.197	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 6
138	:	1625178487.381	    16.432	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 3
166	:	1625178500.426	     3.552	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 4
142	:	1625178488.683	    15.784	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 7
169	:	1625178501.275	     3.383	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 7
143	:	1625178488.881	    16.237	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 8
163	:	1625178499.316	     6.023	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 1
75	:	1625178465.925	    39.837	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 21
145	:	1625178489.537	    16.480	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 10
134	:	1625178486.026	    20.389	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 26
167	:	1625178500.625	     6.076	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 5
