Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
139	:	1625202073.919	     0.470	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 9
140	:	1625202074.117	     0.493	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 14 10
141	:	1625202074.315	     0.366	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 1
143	:	1625202074.712	     0.470	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 3
142	:	1625202074.513	     0.763	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 2
145	:	1625202075.109	     0.421	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 5
146	:	1625202075.307	     0.327	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 6
147	:	1625202075.505	     0.512	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 7
148	:	1625202075.704	     0.476	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 8
144	:	1625202074.910	     1.322	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 4
150	:	1625202076.100	     0.445	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 10
151	:	1625202076.298	     0.586	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 1
149	:	1625202075.902	     1.009	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 15 9
152	:	1625202076.496	     0.704	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 2
154	:	1625202076.892	     0.460	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 4
153	:	1625202076.694	     0.698	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 3
155	:	1625202077.090	     0.473	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 5
156	:	1625202077.288	     0.492	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 6
157	:	1625202077.486	     0.470	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 7
158	:	1625202077.684	     0.453	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 8
159	:	1625202077.882	     0.542	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 9
160	:	1625202078.080	     0.439	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 16 10
161	:	1625202078.278	     0.739	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 1
162	:	1625202078.476	     0.590	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 2
163	:	1625202078.674	     0.546	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 3
165	:	1625202079.067	     0.472	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 5
166	:	1625202079.265	     0.650	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 6
167	:	1625202079.463	     0.494	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 7
168	:	1625202079.661	     0.388	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 8
164	:	1625202078.872	     1.223	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 4
170	:	1625202080.052	     0.407	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 10
169	:	1625202079.859	     0.812	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 17 9
171	:	1625202080.250	     0.657	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 1
173	:	1625202080.647	     0.445	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 3
172	:	1625202080.449	     0.805	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 2
175	:	1625202081.043	     0.361	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 5
174	:	1625202080.845	     0.599	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 4
176	:	1625202081.241	     0.532	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 6
178	:	1625202081.637	     0.528	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 8
177	:	1625202081.439	     0.761	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 7
97	:	1625202065.606	    16.627	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 10 7
179	:	1625202081.835	     0.434	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 9
182	:	1625202082.430	     0.396	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 2
180	:	1625202082.034	     1.015	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 18 10
181	:	1625202082.232	     0.857	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 1
183	:	1625202082.628	     0.678	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 3
184	:	1625202082.826	     0.555	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 4
185	:	1625202083.024	     0.569	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 5
186	:	1625202083.221	     0.375	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 6
187	:	1625202083.419	     0.354	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 7
188	:	1625202083.616	     0.687	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 8
101	:	1625202066.399	    17.966	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 11 1
189	:	1625202083.814	     0.644	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 9
190	:	1625202084.012	     0.705	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 19 10
192	:	1625202084.408	     0.680	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 2
191	:	1625202084.210	     0.917	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 1
193	:	1625202084.606	     0.611	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 3
194	:	1625202084.804	     0.534	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 4
195	:	1625202085.003	     0.621	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 5
196	:	1625202085.201	     0.628	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 6
197	:	1625202085.399	     0.459	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 7
198	:	1625202085.597	     0.511	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 8
199	:	1625202085.795	     0.447	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 9
200	:	1625202085.993	     0.576	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 20 10
201	:	1625202086.191	     0.542	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 1
203	:	1625202086.587	     0.384	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 3
202	:	1625202086.388	     0.641	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 2
205	:	1625202086.983	     0.355	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 5
204	:	1625202086.785	     0.641	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 4
206	:	1625202087.181	     0.484	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 6
207	:	1625202087.379	     0.342	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 7
209	:	1625202087.775	     0.446	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 9
208	:	1625202087.577	     0.940	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 8
